shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
328_to_837,8.65047,39.1019,138,12185.87
328_to_837,8.65155,39.10135,139,12320.33
328_to_837,8.65262,39.10076,140,12455.83
328_to_837,8.65365,39.10015,141,12588.55
328_to_837,8.65549,39.0989,142,12835.01
328_to_837,8.65657,39.09809,143,12984.51
328_to_837,8.658,39.09689,144,13191.11
328_to_837,8.65867,39.09625,145,13293.58
328_to_837,8.65933,39.09562,146,13394.49
328_to_837,8.66035,39.09454,147,13558.68
328_to_837,8.66129,39.09337,148,13724.41
328_to_837,8.66262,39.09171,149,13959.29
328_to_837,8.66548,39.08816,150,14462.70
328_to_837,8.66944,39.08309,151,15172.98
328_to_837,8.67005,39.08234,152,15279.74
328_to_837,8.67126,39.08098,153,15480.87
328_to_837,8.67192,39.08028,154,15587.20
328_to_837,8.67245,39.07977,155,15668.54
328_to_837,8.67365,39.07868,156,15847.87
328_to_837,8.67429,39.07811,157,15942.69
328_to_837,8.67546,39.07717,158,16108.83
328_to_837,8.6767,39.07627,159,16278.53
328_to_837,8.67748,39.07577,160,16381.21
328_to_837,8.67842,39.07515,161,16505.99
328_to_837,8.67938,39.07458,162,16629.77
328_to_837,8.68207,39.07312,163,16969.21
328_to_837,8.68373,39.07221,164,17179.16
328_to_837,8.68465,39.0717,165,17295.81
328_to_837,8.6872,39.07033,166,17616.87
328_to_837,8.68879,39.06939,167,17821.64
328_to_837,8.68975,39.06875,168,17949.49
328_to_837,8.69088,39.06795,169,18102.85
328_to_837,8.69285,39.06644,170,18377.68
328_to_837,8.6938,39.06565,171,18514.43
328_to_837,8.69536,39.0642,172,18749.99
328_to_837,8.69581,39.06375,173,18820.35
328_to_837,8.69746,39.06208,174,19079.88
328_to_837,8.69845,39.06111,175,19233.13
328_to_837,8.69929,39.06023,176,19367.60
328_to_837,8.70012,39.05939,177,19498.14
328_to_837,8.70159,39.0579,178,19729.53
328_to_837,8.70162,39.05787,179,19734.22
328_to_837,8.70174,39.05772,180,19755.43
328_to_837,8.70616,39.05331,181,20445.73
328_to_837,8.70832,39.05119,182,20780.37
328_to_837,8.7093,39.05026,183,20929.78
328_to_837,8.71026,39.04939,184,21073.09
328_to_837,8.7123,39.04766,185,21369.08
328_to_837,8.71369,39.04655,186,21565.99
328_to_837,8.71456,39.04593,187,21684.33
328_to_837,8.71529,39.04541,188,21783.60
328_to_837,8.71715,39.04418,189,22030.69
328_to_837,8.71784,39.04373,190,22121.97
328_to_837,8.72105,39.04158,191,22550.04
328_to_837,8.72206,39.04093,192,22683.15
328_to_837,8.72529,39.03868,193,23119.21
328_to_837,8.72614,39.03804,194,23237.03
328_to_837,8.72716,39.03723,195,23381.21
328_to_837,8.72844,39.03614,196,23567.25
328_to_837,8.7292,39.03545,197,23680.79
328_to_837,8.73047,39.03423,198,23875.53
328_to_837,8.73178,39.03289,199,24082.67
328_to_837,8.73293,39.0316,200,24273.60
328_to_837,8.73431,39.03008,201,24500.43
328_to_837,8.73677,39.02729,202,24911.35
328_to_837,8.73845,39.02543,203,25188.27
328_to_837,8.74,39.02371,204,25444.08
328_to_837,8.7416,39.02191,205,25710.14
328_to_837,8.74253,39.02093,206,25859.45
328_to_837,8.74333,39.02014,207,25983.75
328_to_837,8.74417,39.01941,208,26106.88
328_to_837,8.74472,39.01896,209,26185.54
328_to_837,8.74574,39.01821,210,26325.74
328_to_837,8.74702,39.01737,211,26495.39
328_to_837,8.74783,39.01691,212,26598.68
328_to_837,8.74867,39.0165,213,26702.38
328_to_837,8.74928,39.0162,214,26777.80
328_to_837,8.74994,39.01588,215,26859.18
328_to_837,8.75107,39.01543,216,26994.21
328_to_837,8.75198,39.01512,217,27100.98
328_to_837,8.75254,39.01494,218,27166.32
328_to_837,8.75335,39.01471,219,27259.86
328_to_837,8.75426,39.01451,220,27363.41
328_to_837,8.75461,39.01443,221,27403.31
328_to_837,8.75563,39.01423,222,27518.84
328_to_837,8.75718,39.01398,223,27693.37
328_to_837,8.75866,39.01369,224,27860.99
328_to_837,8.75988,39.01348,225,27998.60
328_to_837,8.76127,39.01324,226,28155.39
328_to_837,8.76141,39.01322,227,28171.12
328_to_837,8.76327,39.01288,228,28381.29
328_to_837,8.7672,39.01217,229,28825.19
328_to_837,8.77107,39.01145,230,29262.73
328_to_837,8.7728,39.01106,231,29459.82
328_to_837,8.77495,39.01045,232,29708.11
328_to_837,8.77636,39.00992,233,29875.36
328_to_837,8.77775,39.00938,234,30040.92
328_to_837,8.77901,39.00879,235,30195.30
328_to_837,8.78054,39.00806,236,30383.39
328_to_837,8.7812,39.00768,237,30467.83
328_to_837,8.7825,39.00691,238,30635.33
328_to_837,8.78318,39.00647,239,30725.08
328_to_837,8.78389,39.00599,240,30820.03
328_to_837,8.78441,39.00562,241,30890.72
