shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
328_to_280,8.58942,39.1257,0,0.00
328_to_280,8.58921,39.12557,1,27.38
328_to_280,8.58921,39.12557,2,27.38
328_to_280,8.58886,39.12609,3,96.54
328_to_280,8.58886,39.12609,4,96.54
328_to_280,8.58851,39.12583,5,144.83
328_to_280,8.58823,39.12563,6,182.95
328_to_280,8.58777,39.12528,7,246.95
328_to_280,8.58728,39.12486,8,318.38
328_to_280,8.58705,39.12463,9,354.34
328_to_280,8.58705,39.12463,10,354.34
328_to_280,8.58697,39.12456,11,366.11
328_to_280,8.58676,39.12451,12,390.10
328_to_280,8.58667,39.12446,13,401.51
328_to_280,8.58658,39.12439,14,414.14
328_to_280,8.58644,39.12428,15,433.85
328_to_280,8.58576,39.12372,16,531.36
328_to_280,8.58484,39.123,17,660.71
328_to_280,8.5837,39.12214,18,818.86
328_to_280,8.58302,39.12159,19,915.68
328_to_280,8.58233,39.12104,20,1013.37
328_to_280,8.58203,39.12078,21,1057.30
328_to_280,8.5819,39.12071,22,1073.68
328_to_280,8.58171,39.12055,23,1101.17
328_to_280,8.58116,39.12012,24,1178.47
328_to_280,8.58101,39.11998,25,1201.17
328_to_280,8.58057,39.11966,26,1261.43
328_to_280,8.58041,39.11952,27,1284.96
328_to_280,8.57987,39.11911,28,1360.04
328_to_280,8.5798,39.11906,29,1369.57
328_to_280,8.57953,39.11884,30,1408.13
328_to_280,8.57917,39.11857,31,1457.96
328_to_280,8.57858,39.1181,32,1541.48
328_to_280,8.5783,39.11788,33,1580.90
328_to_280,8.57798,39.11763,34,1625.87
328_to_280,8.57785,39.11754,35,1643.38
328_to_280,8.57769,39.11745,36,1663.74
328_to_280,8.57754,39.11736,37,1683.14
328_to_280,8.57739,39.11729,38,1701.50
328_to_280,8.57704,39.11715,39,1743.36
328_to_280,8.57677,39.11706,40,1774.97
328_to_280,8.57574,39.11672,41,1895.45
328_to_280,8.57474,39.11638,42,2012.76
328_to_280,8.57366,39.11603,43,2138.86
328_to_280,8.57256,39.11567,44,2267.42
328_to_280,8.57229,39.11556,45,2299.79
328_to_280,8.57202,39.11544,46,2332.58
328_to_280,8.57183,39.11534,47,2356.40
328_to_280,8.57164,39.11523,48,2380.74
328_to_280,8.57124,39.11497,49,2433.62
328_to_280,8.57088,39.11473,50,2481.56
328_to_280,8.56956,39.11383,51,2658.58
328_to_280,8.56947,39.11376,52,2671.21
328_to_280,8.56808,39.11281,53,2857.76
328_to_280,8.56708,39.11213,54,2991.75
328_to_280,8.56579,39.11125,55,3164.78
328_to_280,8.56516,39.11082,56,3249.29
328_to_280,8.56489,39.11064,57,3285.25
328_to_280,8.5645,39.11037,58,3337.81
328_to_280,8.5643,39.11024,59,3364.24
328_to_280,8.5639,39.10997,60,3417.72
328_to_280,8.56329,39.10956,61,3499.16
328_to_280,8.56216,39.10875,62,3653.18
328_to_280,8.56138,39.10803,63,3770.61
328_to_280,8.55981,39.1066,64,4005.56
328_to_280,8.55815,39.10506,65,4256.05
328_to_280,8.55572,39.10281,66,4622.40
328_to_280,8.55509,39.10222,67,4717.88
328_to_280,8.55396,39.10116,68,4889.27
328_to_280,8.55224,39.0996,69,5146.18
328_to_280,8.55139,39.0988,70,5275.30
328_to_280,8.54999,39.09748,71,5488.14
328_to_280,8.54924,39.09685,72,5596.55
328_to_280,8.54826,39.09619,73,5727.48
328_to_280,8.54778,39.09586,74,5792.02
328_to_280,8.54595,39.09463,75,6036.35
328_to_280,8.5445,39.09366,76,6229.67
328_to_280,8.54318,39.09278,77,6405.48
328_to_280,8.5411,39.09137,78,6683.92
328_to_280,8.54034,39.09088,79,6784.15
328_to_280,8.53922,39.09012,80,6934.13
328_to_280,8.53808,39.08936,81,7085.96
328_to_280,8.53717,39.08873,82,7208.59
